"source","code","title","url","description","imgsrc","tags"
"Flipside","no","LILIL Calculator","https://science.flipsidecrypto.xyz/lilil","Just a lil' IL calculator to help you LP smartly","images/lilil.png","uniswap, IL, dex, ethereum, v3, amm, calculator, app"
"Flipside","no","Native Token Recycling","https://science.flipsidecrypto.xyz/native-token-recycling","HODL or NODL - a look at token distribution through airdrops vs. Flipside's bounty program","images/ntr.png","airdrop, bounty, app"
"Flipside","no","Thorchain Console","https://science.flipsidecrypto.xyz/thorchain-console","What's happening on Thorchain today? Here's your best source to find out","images/thorchain_console.png","thorchain, app, activity, bridge, console"
"Flipside","no","Algorand Console","https://science.flipsidecrypto.xyz/algorand-console","The 5 W's of journalism, but for Algorand!","images/algorand.png","algorand, algo, app, activity, console"
"Flipside","no","EVM FlippyByte","https://science.flipsidecrypto.xyz/evmsig/","Look up and search for byte and hex versions of EVM function and event names. Search in English or byte/hex.","images/evmsig.png","app, ethereum, research, analysis"
"Flipside","yes","Uniswap v2 Explained","https://science.flipsidecrypto.xyz/uni_v2_explained/","Understand the most popular AMM design in DeFi today across 10+ protocols and chains.","images/uniswap_logo.png","uniswap, dex, research, ethereum, tutorial, v2, amm"
"Flipside","yes","Uniswap v3 Explained","https://science.flipsidecrypto.xyz/uni_v3_explained/","Deep Dive into Concentrated Liquidity and Uniswap v3: the high risk, high reward arena for Liquidity Providing in DeFi","images/uniswap_logo.png","uniswap, dex, research, ethereum, tutorial, v3, amm"
"Community","yes","OpenBB Terminal","https://openbb.co/","OpenBB Terminal is a modern investment research platform for everyone. Free, open source, and built in Python. The desktop application that allows you to make better investment decisions.","images/openbb.png","community, python, research, finance, investment, app, "
"Community","no","Flowverse NFT Stats","https://nft.flowverse.co/stats","Track statistics for the most popular NFTs on Flow across Music, Fashion, Art and other categories.","images/flowverse.png","nft, app, statistics, finance, investment, community"
"Community","no","AAVE Explorer","https://aave-explorer.vercel.app/","AAVE stats and transaction explorer by @a_idria.","images/aave_explorer.png","community, app, aave, defi, ethereum "
"Flipside","yes","Bonk Post Mortem","https://science.flipsidecrypto.xyz/bonk-post-mortem/","Reviewing the BONK airdrop and helping find and fix failed drop transactions","images/solana_bonk_image.png","solana, bonk, airdrop, reconciliation, retroactive, metrics"
"Flipside","yes","ETH Timecard","https://science.flipsidecrypto.xyz/eth-timecard/","Open-source app that asks: How active have you been on mainnet? Find out!","images/eth_timecard.png","ethereum, app, user, activity, metrics"
"Flipside","yes","LUNAtics","https://science.flipsidecrypto.xyz/lunatics","[Deprecated] See how you stack up on 15 Terra metrics: are you a true LUNAtic?","images/lunatics.png","terra, luna, ust, activity, user, metrics, calculator, app"
"Flipside","no","Anchor Earnings","https://science.flipsidecrypto.xyz/anchor_earnings","[Deprecated] How much have you earned on Anchor? This is the only place on the internet to find out","images/anchor_earnings.png","anchor, terra, luna, ust, calculator, app"
"Flipside","yes","UST","https://science.flipsidecrypto.xyz/ust","[Deprecated] Get the full view of UST on Terra","images/ust.png","terra, ust, app, network"
"Flipside","no","TerraScored","https://science.flipsidecrypto.xyz/terrascored","[Deprecated] This app was designed to help protocols determine token distribution on Terra","images/terrascored.png","terra, ust, app, user, metrics, activity"
"Flipside","yes","MKR ETH-B Elasticity","https://science.flipsidecrypto.xyz/mkr_ethb_report/","Our report on Maker's ETH-B Vault. Do fees deter users? We don't think so. Check out our argument & consider delegating your MKR to flipside governance for more of this kind of research!","images/maker_logo.png","maker, mkr, report, research, eth, ethereum, dai, stablecoin, elasticity"
"Flipside","yes","Labels from Subgraphs","https://science.flipsidecrypto.xyz/subgraph-labels/Subgraph_labels.html","Walkthrough on how Flipside leverages protocol specific subgraphs for address labels.","images/protocol.png","crosschain, label, livequery, tutorial, subgraph"
